State,Prevalence,95% CI
Alabama,38.5,"(35.0, 42.1)"
Alaska,31.9,"(28.4, 35.6)"
Arizona,30.5,"(27.2, 34.1)"
Arkansas,37.6,"(34.1, 41.2)"
California,25.3,"(23.0, 27.7)"
Colorado,22.0,"(20.3, 23.8)"
Connecticut,28.7,"(25.7, 31.8)"
Delaware,29.7,"(25.5, 34.4)"
District of Columbia,22.0,"(18.9, 25.4)"
Florida,27.1,"(24.1, 30.2)"
Georgia,32.2,"(29.2, 35.3)"
Guam,41.2,"(32.5, 50.4)"
Hawaii,28.6,"(25.6, 31.8)"
Idaho,28.5,"(25.5, 31.7)"
Illinois,28.4,"(26.4, 30.3)"
Indiana,34.8,"(32.7, 37.0)"
Iowa,31.2,"(28.8, 33.7)"
Kansas,35.1,"(32.9, 37.4)"
Kentucky,34.8,"(31.6, 38.1)"
Louisiana,38.0,"(34.5, 41.6)"
Maine,30.0,"(27.5, 32.6)"
Maryland,28.5,"(26.4, 30.8)"
Massachusetts,21.4,"(19.4, 23.6)"
Michigan,33.2,"(30.6, 36.0)"
Minnesota,27.3,"(25.5, 29.2)"
Mississippi,36.7,"(32.8, 40.9)"
Missouri,29.5,"(26.9, 32.1)"
Montana,27.2,"(24.4, 30.1)"
Nebraska,33.2,"(30.9, 35.5)"
Nevada,29.2,"(24.3, 34.8)"
New Hampshire,28.0,"(24.2, 32.2)"
New Jersey,25.4,"(23.0, 28.0)"
New Mexico,33.9,"(29.3, 38.8)"
New York,27.3,"(26.1, 28.4)"
North Carolina,29.9,"(26.9, 33.1)"
North Dakota,33.1,"(30.2, 36.2)"
Ohio,34.6,"(31.8, 37.5)"
Oklahoma,31.3,"(28.9, 33.8)"
Oregon,30.9,"(28.3, 33.6)"
Pennsylvania,30.0,"(26.3, 34.0)"
Puerto Rico,33.8,"(30.0, 37.8)"
Rhode Island,27.7,"(24.5, 31.1)"
South Carolina,31.9,"(28.3, 35.6)"
South Dakota,32.1,"(26.7, 38.0)"
Tennessee,Insufficient data*,Insufficient data*
Texas,32.8,"(30.1, 35.5)"
Utah,26.8,"(25.0, 28.6)"
Vermont,24.4,"(21.5, 27.5)"
Virgin Islands,27.9,"(19.4, 38.3)"
Virginia,28.4,"(25.4, 31.7)"
Washington,28.5,"(27.1, 29.9)"
West Virginia,39.7,"(36.3, 43.2)"
Wisconsin,32.6,"(30.1, 35.2)"
Wyoming,28.7,"(25.1, 32.6)"
