State,Prevalence,95% CI
Alabama,33.6,"(31.2, 36.1)"
Alaska,33.3,"(30.4, 36.3)"
Arizona,30.7,"(27.9, 33.6)"
Arkansas,33.0,"(30.8, 35.2)"
California,25.9,"(23.8, 28.2)"
Colorado,24.4,"(22.9, 26.0)"
Connecticut,31.4,"(28.9, 34.1)"
Delaware,35.4,"(32.8, 38.2)"
District of Columbia,27.5,"(24.3, 30.9)"
Florida,28.7,"(26.5, 31.1)"
Georgia,33.6,"(31.0, 36.3)"
Guam,30.9,"(17.9, 48.0)"
Hawaii,22.0,"(19.9, 24.2)"
Idaho,33.0,"(30.0, 36.1)"
Illinois,35.4,"(33.5, 37.2)"
Indiana,37.0,"(35.4, 38.6)"
Iowa,36.2,"(34.3, 38.2)"
Kansas,35.8,"(33.9, 37.7)"
Kentucky,35.3,"(33.0, 37.7)"
Louisiana,35.0,"(32.5, 37.7)"
Maine,32.3,"(30.8, 33.9)"
Maryland,32.2,"(30.5, 34.0)"
Massachusetts,27.8,"(26.0, 29.7)"
Michigan,35.2,"(33.5, 37.0)"
Minnesota,32.9,"(31.5, 34.3)"
Mississippi,37.7,"(34.0, 41.6)"
Missouri,32.5,"(30.3, 34.9)"
Montana,31.3,"(29.4, 33.3)"
Nebraska,37.1,"(35.3, 38.9)"
Nevada,31.8,"(27.4, 36.5)"
New Hampshire,29.7,"(27.8, 31.6)"
New Jersey,27.9,"(25.7, 30.2)"
New Mexico,29.5,"(26.3, 32.9)"
New York,27.4,"(26.2, 28.6)"
North Carolina,31.8,"(28.9, 34.7)"
North Dakota,36.7,"(34.6, 38.9)"
Ohio,35.6,"(33.6, 37.7)"
Oklahoma,33.3,"(31.3, 35.2)"
Oregon,31.9,"(29.7, 34.2)"
Pennsylvania,33.7,"(30.1, 37.6)"
Puerto Rico,31.8,"(27.9, 35.9)"
Rhode Island,29.9,"(27.4, 32.5)"
South Carolina,32.3,"(30.3, 34.4)"
South Dakota,34.3,"(29.3, 39.6)"
Tennessee,Insufficient data*,Insufficient data*
Texas,32.2,"(29.5, 35.1)"
Utah,31.9,"(30.1, 33.8)"
Vermont,29.0,"(27.0, 31.1)"
Virgin Islands,34.1,"(23.1, 47.0)"
Virginia,32.9,"(30.5, 35.3)"
Washington,29.9,"(28.8, 31.0)"
West Virginia,36.1,"(34.1, 38.1)"
Wisconsin,37.9,"(36.3, 39.5)"
Wyoming,30.4,"(28.3, 32.6)"
